from node,to node,is exist,length,max capacity
0,3,0,25.7,464000
0,2,0,39.5,464000
0,1,0,51.7,464000
1,12,1,53.7,432000
1,10,0,23.3,464000
1,2,0,26,464000
1,3,0,32.7,464000
2,16,1,212.4,164000
2,1,0,26,464000
2,3,0,35.1,464000
2,10,0,39,464000
3,0,0,25.7,464000
3,1,0,32.7,464000
3,2,0,35.1,464000
4,14,1,92.4,31000
4,15,1,21.5,846000
4,14,1,92.4,896000
4,15,0,21.5,464000
4,12,0,33.7,464000
4,1,0,38.3,464000
5,6,1,157.2,1235000
5,13,0,29.5,464000
5,7,0,73.8,464000
5,17,0,78.2,464000
6,5,1,157.2,275000
6,17,1,228,1180000
6,5,0,157.2,464000
6,13,0,182.2,464000
6,7,0,185.5,464000
7,14,0,37.2,464000
7,9,0,55,464000
7,5,0,73.8,464000
8,10,0,33.9,464000
8,2,0,40.3,464000
8,1,0,46.4,464000
9,14,0,26.7,464000
9,11,0,36.4,464000
9,7,0,55,464000
10,6,1,319.1,173000
10,1,0,23.3,464000
10,8,0,33.9,464000
10,12,0,37.7,464000
11,15,0,29.1,464000
11,9,0,36.4,464000
11,12,0,40.2,464000
12,1,1,53.7,251000
12,4,0,33.7,464000
12,15,0,35.7,464000
12,10,0,37.7,464000
13,5,0,29.5,464000
13,17,0,48.9,464000
13,16,0,81,464000
14,4,1,92.4,31000
14,4,1,92.4,896000
14,9,0,26.7,464000
14,7,0,37.2,464000
14,11,0,56.7,464000
15,4,1,21.5,31000
15,4,1,21.5,201000
15,4,1,21.5,846000
15,4,0,21.5,464000
15,11,0,29.1,464000
15,12,0,35.7,464000
16,2,1,212.4,125000
16,17,0,32.4,464000
16,13,0,81,464000
16,5,0,110.1,464000
17,6,1,228,275000
17,16,0,32.4,464000
17,13,0,48.9,464000
17,5,0,78.2,464000
