node_num,Lat,Lon,FIPS,out_of_state_demand,inj_capacity,SVL1,SVL2
0,41.228103,73.366757,9001,275000,2052000,4,2
1,41.806053,72.732916,9003,125000,164000,4,2
2,41.791897,73.235428,9005,0,866000,4,2
3,41.349717,72.900204,9009,620000,0,4,2
4,41.824999,71.990702,9015,1235000,275000,3,4
5,44.494585,70.734688,23017,251000,432000,0,6
6,44.967009,67.609354,23029,926000,833000,0,6
7,43.427239,70.670402,23031,927000,927000,0,6
8,42.375314,73.213948,25003,0,1169000,2,4
9,42.642711,70.865107,25009,1078000,846000,1,6
10,42.136198,72.635648,25013,164000,125000,2,4
11,42.169703,71.179875,25021,173000,0,5,3
12,42.311693,71.940282,25027,275000,1180000,2,5
13,44.652419,71.289383,33007,648000,806000,0,1
14,42.98936,71.099437,33015,1773000,2005000,1,6
15,41.870488,71.578242,44007,1455000,1683000,3,5
16,44.858964,72.909402,50011,0,62000,0,2
17,44.828442,72.25163,50019,0,0,0,1
