,from bus,to bus,is_exist,maxFlow,susceptance,distance
0,0.0,9.0,0.0,2581.0,19184.0,22.4
1,0.0,5.0,0.0,2580.1,19062.9,22.4
2,0.0,5.0,0.0,2580.1,19062.9,22.4
3,0.0,5.0,0.0,2580.1,19062.9,22.4
4,0.0,5.0,1.0,2208.42,18960.94046,22.4264432
5,0.0,9.0,1.0,2396.03,17882.68956,22.38648615
6,0.0,9.0,0.0,2581.0,19184.0,22.4
7,1.0,12.0,0.0,2830.8,51409.2,11.8
8,1.0,12.0,0.0,2830.8,51409.2,11.8
9,1.0,12.0,0.0,2830.8,51409.2,11.8
10,1.0,12.0,0.0,2830.8,51409.2,11.8
11,1.0,3.0,1.0,2404.19,19580.9673,22.99565615
12,1.0,9.0,1.0,2569.22,11927.48092,37.52993436
13,1.0,12.0,1.0,2557.93,31897.92663,11.7587615
14,1.0,12.0,0.0,2830.8,51409.2,11.8
15,2.0,28.0,0.0,2852.9,54247.7,10.8
16,2.0,28.0,0.0,2852.9,54247.7,10.8
17,2.0,28.0,1.0,2531.17,34470.87211,10.82261498
18,2.0,10.0,1.0,2779.33,17822.13509,22.2881296
19,2.0,28.0,0.0,2852.9,54247.7,10.8
20,3.0,12.0,0.0,2680.0,31954.7,18.2
21,3.0,12.0,0.0,2680.0,31954.7,18.2
22,3.0,12.0,0.0,2680.0,31954.7,18.2
23,4.0,15.0,0.0,2797.6,47120.3,13.2
24,4.0,15.0,0.0,2797.6,47120.3,13.2
25,4.0,5.0,1.0,2509.28,14854.42662,23.85353125
26,4.0,10.0,1.0,2749.92,15335.07131,25.77633536
27,4.0,15.0,0.0,2797.6,47120.3,13.2
28,5.0,13.0,1.0,2166.71,12623.07498,28.51122433
29,6.0,14.0,0.0,2975.3,70038.7,5.6
30,6.0,13.0,0.0,2840.1,52607.9,11.4
31,6.0,13.0,0.0,2840.1,52607.9,11.4
32,6.0,14.0,0.0,2975.3,70038.7,5.6
33,6.0,14.0,1.0,2320.55,54525.62704,5.614796238
34,6.0,25.0,1.0,2501.83,12367.05417,34.76512402
35,6.0,14.0,0.0,2975.3,70038.7,5.6
36,7.0,11.0,0.0,2520.3,11352.6,25.0
37,7.0,11.0,0.0,2520.3,11352.6,25.0
38,7.0,11.0,1.0,2181.75,15080.68165,24.96925958
39,7.0,11.0,0.0,2520.3,11352.6,25.0
40,8.0,11.0,0.0,2629.4,25429.7,20.3
41,8.0,9.0,0.0,2617.9,23944.0,20.8
42,8.0,9.0,0.0,2617.9,23944.0,20.8
43,8.0,11.0,0.0,2629.4,25429.7,20.3
44,8.0,9.0,1.0,1988.71,20508.61362,20.81666251
45,8.0,11.0,1.0,2309.03,19477.98987,20.32667703
46,8.0,11.0,0.0,2629.4,25429.7,20.3
47,10.0,15.0,0.0,2810.8,48826.1,12.6
48,10.0,26.0,1.0,2438.37,10135.81999,38.09057495
49,10.0,15.0,1.0,2775.57,28968.71379,12.61064926
50,13.0,14.0,1.0,2041.38,25893.31952,15.91056583
51,16.0,35.0,1.0,2350.71,36697.24771,11.09866663
52,16.0,42.0,1.0,2601.13,24026.91014,18.26075443
53,16.0,35.0,0.0,2846.4,53410.7,11.1
54,16.0,35.0,0.0,2846.4,53410.7,11.1
55,16.0,35.0,0.0,2846.4,53410.7,11.1
56,17.0,33.0,1.0,2320.35,28943.56006,13.72116675
57,17.0,37.0,1.0,2316.57,38270.18752,8.743400022
58,17.0,33.0,0.0,2784.7,45458.8,13.7
59,17.0,33.0,0.0,2784.7,45458.8,13.7
60,18.0,28.0,0.0,3023.8,76300.0,3.5
61,18.0,22.0,0.0,2843.0,52982.3,11.2
62,18.0,22.0,0.0,2843.0,52982.3,11.2
63,18.0,28.0,0.0,3023.8,76300.0,3.5
64,18.0,22.0,1.0,2570.06,37327.36096,11.23993371
65,18.0,28.0,1.0,3009.53,92764.37848,3.549855918
66,18.0,45.0,1.0,2980.37,19160.75877,20.14881755
67,18.0,28.0,0.0,3023.8,76300.0,3.5
68,18.0,28.0,0.0,3023.8,76300.0,3.5
69,19.0,21.0,0.0,2749.1,40859.9,15.2
70,19.0,21.0,0.0,2749.1,40859.9,15.2
71,19.0,21.0,1.0,2357.9,25310.04809,15.23788356
72,19.0,21.0,0.0,2749.1,40859.9,15.2
73,19.0,21.0,0.0,2749.1,40859.9,15.2
74,20.0,25.0,0.0,2597.8,21344.5,21.7
75,20.0,25.0,0.0,2597.8,21344.5,21.7
76,20.0,25.0,1.0,2364.73,18825.3012,21.67398409
77,20.0,25.0,0.0,2597.8,21344.5,21.7
78,21.0,50.0,1.0,2751.34,18005.04141,23.48600823
79,22.0,45.0,0.0,2832.3,51594.6,11.7
80,22.0,45.0,0.0,2832.3,51594.6,11.7
81,22.0,45.0,0.0,2832.3,51594.6,11.7
82,22.0,45.0,1.0,3158.92,31928.4802,11.69759982
83,23.0,37.0,0.0,2553.2,15591.3,23.6
84,23.0,26.0,0.0,2357.0,-9714.5,31.9
85,23.0,26.0,0.0,2357.0,-9714.5,31.9
86,23.0,26.0,0.0,2357.0,-9714.5,31.9
87,23.0,30.0,1.0,2544.09,9209.799226,41.63082899
88,23.0,37.0,1.0,2444.85,16849.19966,23.57135003
89,24.0,30.0,0.0,3041.2,78537.3,2.8
90,24.0,30.0,0.0,3041.2,78537.3,2.8
91,24.0,39.0,0.0,2417.6,-1897.4,29.3
92,24.0,39.0,0.0,2417.6,-1897.4,29.3
93,24.0,27.0,1.0,2332.49,45392.64639,6.590219184
94,24.0,30.0,1.0,2510.24,119904.0767,2.811990594
95,24.0,38.0,1.0,2334.51,16059.09748,24.78386182
96,24.0,30.0,0.0,3041.2,78537.3,2.8
97,27.0,30.0,0.0,2974.8,69972.3,5.6
98,27.0,30.0,0.0,2974.8,69972.3,5.6
99,27.0,30.0,0.0,2974.8,69972.3,5.6
100,29.0,31.0,0.0,2339.5,-11968.4,32.7
101,29.0,31.0,0.0,2339.5,-11968.4,32.7
102,31.0,39.0,1.0,2465.6,13204.80655,29.88477825
103,31.0,41.0,1.0,2099.63,32669.0624,11.49331795
104,31.0,41.0,0.0,2837.1,52214.0,11.5
105,32.0,41.0,0.0,2655.4,28779.9,19.2
106,32.0,41.0,1.0,2376.62,18871.48519,19.22179074
107,32.0,41.0,0.0,2655.4,28779.9,19.2
108,33.0,34.0,0.0,2401.4,-3980.7,30.0
109,33.0,34.0,0.0,2401.4,-3980.7,30.0
110,36.0,38.0,1.0,2114.07,24396.19419,16.07063681
111,36.0,38.0,0.0,2729.5,38334.8,16.1
112,40.0,66.0,0.0,2919.4,62834.4,8.0
113,40.0,42.0,1.0,2410.67,21767.52286,17.00075213
114,40.0,55.0,1.0,2518.72,14386.41922,29.04662183
115,40.0,66.0,1.0,2847.53,42625.74595,7.990770452
116,40.0,66.0,0.0,2919.4,62834.4,8.0
117,42.0,62.0,0.0,2754.7,41589.0,15.0
118,42.0,62.0,0.0,2754.7,41589.0,15.0
119,42.0,62.0,1.0,2618.31,24563.98919,14.99741945
120,42.0,62.0,0.0,2754.7,41589.0,15.0
121,43.0,58.0,0.0,2774.0,44073.1,14.2
122,43.0,58.0,1.0,2738.41,29282.57687,14.17816955
123,43.0,64.0,1.0,3154.54,16371.97119,22.63473264
124,43.0,70.0,1.0,2400.29,28089.88764,15.74186622
125,43.0,58.0,0.0,2774.0,44073.1,14.2
126,44.0,45.0,1.0,2685.46,18047.28388,22.83134929
127,44.0,48.0,0.0,2704.6,35120.3,17.1
128,45.0,50.0,1.0,2946.6,18667.16446,23.3495728
129,46.0,85.0,0.0,2735.9,39166.8,15.8
130,46.0,47.0,0.0,2703.3,34958.6,17.2
131,46.0,47.0,0.0,2703.3,34958.6,17.2
132,46.0,85.0,1.0,2417.7,25043.8267,15.79622965
133,46.0,47.0,1.0,2640.77,23223.4092,17.18410101
134,46.0,85.0,0.0,2735.9,39166.8,15.8
135,47.0,63.0,1.0,2729.83,20429.00919,20.10601614
136,48.0,50.0,1.0,2653.0,42319.08591,8.804544401
137,48.0,50.0,0.0,2900.3,60366.9,8.8
138,48.0,50.0,0.0,2900.3,60366.9,8.8
139,49.0,61.0,0.0,2888.1,58789.1,9.3
140,49.0,61.0,0.0,2888.1,58789.1,9.3
141,49.0,61.0,0.0,2888.1,58789.1,9.3
142,49.0,50.0,1.0,2660.37,31017.36973,13.07910937
143,49.0,54.0,1.0,2622.23,29913.25157,13.35115249
144,49.0,61.0,1.0,2556.57,45289.85507,9.32487637
145,49.0,61.0,0.0,2888.1,58789.1,9.3
146,51.0,52.0,1.0,2576.66,24697.45616,14.70000638
147,51.0,54.0,1.0,2377.46,14334.86239,33.77118638
148,51.0,58.0,1.0,2849.6,22920.00917,17.20371788
149,51.0,52.0,0.0,2761.7,42490.8,14.7
150,51.0,52.0,0.0,2761.7,42490.8,14.7
151,53.0,61.0,1.0,2652.96,16092.69392,24.86303689
152,53.0,54.0,0.0,2773.0,43946.4,14.2
153,53.0,54.0,0.0,2773.0,43946.4,14.2
154,54.0,61.0,0.0,2805.5,48144.0,12.8
155,55.0,66.0,0.0,2612.2,23202.7,21.1
156,55.0,66.0,0.0,2612.2,23202.7,21.1
157,56.0,65.0,0.0,3022.2,76092.5,3.6
158,56.0,61.0,1.0,2778.79,35752.59206,10.73892121
159,56.0,60.0,1.0,2099.57,68493.15068,4.663010211
160,56.0,65.0,1.0,2262.43,87873.46221,3.618288978
161,56.0,65.0,0.0,3022.2,76092.5,3.6
162,57.0,70.0,0.0,3003.5,73682.5,4.4
163,57.0,58.0,0.0,2889.3,58945.1,9.3
164,57.0,58.0,0.0,2889.3,58945.1,9.3
165,57.0,58.0,0.0,2889.3,58945.1,9.3
166,57.0,67.0,0.0,2762.7,42617.5,14.7
167,57.0,67.0,0.0,2762.7,42617.5,14.7
168,57.0,70.0,0.0,3003.5,73682.5,4.4
169,57.0,58.0,1.0,2579.01,42052.14466,9.273447718
170,57.0,67.0,1.0,2704.61,28113.57886,14.65822825
171,57.0,70.0,0.0,3003.5,73682.5,4.4
172,58.0,70.0,1.0,2599.69,27593.81898,13.15294121
173,59.0,64.0,0.0,2778.3,44628.7,14.0
174,59.0,64.0,0.0,2778.3,44628.7,14.0
175,59.0,64.0,1.0,2825.81,31065.54831,13.99494331
176,59.0,64.0,0.0,2778.3,44628.7,14.0
177,59.0,64.0,0.0,2778.3,44628.7,14.0
178,60.0,65.0,0.0,3033.9,77604.5,3.1
179,60.0,65.0,0.0,3033.9,77604.5,3.1
180,60.0,65.0,0.0,3033.9,77604.5,3.1
181,60.0,69.0,0.0,2930.0,64199.0,7.5
182,60.0,69.0,0.0,2930.0,64199.0,7.5
183,60.0,61.0,1.0,2702.71,29568.30278,14.35523374
184,60.0,65.0,1.0,2338.48,102564.1026,3.119642521
185,60.0,69.0,1.0,2018.71,51759.83437,7.540713223
186,60.0,65.0,0.0,3033.9,77604.5,3.1
187,63.0,80.0,0.0,2669.9,30648.4,18.6
188,63.0,65.0,1.0,2645.36,15316.28121,28.58972465
189,63.0,80.0,0.0,2669.9,30648.4,18.6
190,63.0,80.0,0.0,2669.9,30648.4,18.6
191,67.0,68.0,1.0,2497.42,20811.65453,17.35950013
192,67.0,68.0,0.0,2699.2,34426.7,17.4
193,69.0,80.0,0.0,2721.0,37246.7,16.4
194,69.0,80.0,0.0,2721.0,37246.7,16.4
195,69.0,80.0,0.0,2721.0,37246.7,16.4
196,69.0,80.0,1.0,2348.19,24396.19419,16.4294914
197,71.0,72.0,0.0,2922.7,63257.4,7.9
198,71.0,72.0,0.0,2922.7,63257.4,7.9
199,71.0,82.0,1.0,3089.64,16337.1998,25.58609061
200,71.0,72.0,1.0,2166.56,45682.96026,7.85126428
201,71.0,76.0,1.0,3167.1,20032.05128,21.72354099
202,71.0,72.0,0.0,2922.7,63257.4,7.9
203,72.0,82.0,0.0,2611.9,23170.2,21.1
204,72.0,77.0,1.0,3190.89,24691.35802,16.77955362
205,73.0,74.0,1.0,2823.82,30778.70114,13.72339951
206,73.0,83.0,1.0,2884.84,20308.69212,18.90216792
207,73.0,75.0,1.0,2511.47,28473.8041,15.84573635
208,73.0,76.0,1.0,2915.51,35050.82369,9.841113748
209,73.0,76.0,0.0,2875.9,57223.8,9.8
210,74.0,78.0,1.0,2625.06,27129.67987,14.92417161
211,74.0,84.0,1.0,2767.86,34176.34997,11.97584175
212,74.0,83.0,0.0,2894.2,59577.3,9.1
213,74.0,78.0,0.0,2756.4,41811.1,14.9
214,74.0,78.0,0.0,2756.4,41811.1,14.9
215,76.0,86.0,0.0,2844.2,53137.7,11.2
216,76.0,86.0,0.0,2844.2,53137.7,11.2
217,76.0,86.0,0.0,2844.2,53137.7,11.2
218,76.0,86.0,1.0,2877.63,36245.01631,11.18868264
219,77.0,79.0,0.0,3008.9,74379.4,4.2
220,77.0,79.0,0.0,3008.9,74379.4,4.2
221,77.0,86.0,1.0,2938.53,28620.49227,15.32126299
222,77.0,79.0,1.0,2968.63,73260.07326,4.183277715
223,77.0,79.0,0.0,3008.9,74379.4,4.2
224,77.0,79.0,0.0,3008.9,74379.4,4.2
225,78.0,85.0,0.0,2749.9,40965.8,15.2
226,78.0,85.0,0.0,2749.9,40965.8,15.2
227,78.0,80.0,1.0,2932.49,12683.91679,29.39322964
228,79.0,86.0,1.0,2678.53,29647.19834,12.57875348
229,81.0,83.0,1.0,3045.81,16866.25063,27.11488558
230,81.0,87.0,1.0,3193.96,47147.5719,8.754395278
231,81.0,87.0,0.0,2901.5,60518.9,8.8
232,83.0,84.0,0.0,3034.6,77686.7,3.1
233,83.0,84.0,0.0,3034.6,77686.7,3.1
234,83.0,84.0,1.0,2580.01,86880.97307,3.092524978
235,83.0,86.0,1.0,2996.38,23496.2406,15.67368843
236,83.0,84.0,0.0,3034.6,77686.7,3.1
237,84.0,87.0,1.0,3176.5,15053.43971,27.90168853
238,84.0,86.0,1.0,3113.08,24987.50625,14.29652529
